Client Account,Job Client,Job Number,Job Type,Job CRN,Job Tags,Job Status,Serial Number,Client Tag,Asset Tags,Requested By,Requested Date,Finished Date,Invoice Status,Job Number,CustomerPONumber,DatePosted,PaymentStatus,Comment,Model,LocationType,Location CRN,Location CRN2,Location Name,Street Address,Suburb,State,PostCode,Notes,Line Items,Line Items Per Unit Ex. Gst,Total Ex. Gst,GST,Total
SKOPE Industries,SKOPE INDUSTRIES,SIL-1228974R,Repair,,,Completed Successfully,A231019995,,,Luke - TS,18/12/2023 11:08:00 AM,21/06/2024 7:48:37 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,SKT1500,Outlet,,,Volvo,41 Bivouac Place,Wacol,QLD,4076,"Travelled to site and started to fit lights fitted side lights and checked materials.
Found didn't have all materials to complete job. Will return and finish off early next week.
Travelled to site and installed lights and components. Installed new controller and found still no power to lights. 24 volts out of driver but no power to lights. Will talk to Luke as maybe wiring in controller is not correct.
Travelled to site and wirh help of Luke and Mike reprogrammed controller after finding loom missing for cable to make lights work. Ran and tested. O.K.","Call Out,Labour,Labour,Travel Time,Consumables","90.0000,90.0000,225.0000,45.0000,10.0000",460.0000,46.00,506.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1228974R,Repair,,,Completed Successfully,A231019995,,,Luke - TS,18/12/2023 11:08:00 AM,21/06/2024 7:48:37 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,SKT1500,Outlet,,,Volvo,41 Bivouac Place,Wacol,QLD,4076,Travelled to site and with help of Luke and Mike reprogrammed controller after finding loom missing for cable to make lights work. Ran and tested. O.K.,"Labour,Travel Time,ELL11771,ELZ11887,LSMT15SYN/252 SKT1500NS-A CAB SERIAL PLATE Replace original serial label LSMT15SVN/252 as electrical,MT15BYN/X03,PLE11570,SXX11778,UA0300055,FLX11928","135.0000,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",180.0000,18.00,198.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1237086R,Repair,,,Completed Successfully,3005882090801036,,,Bill 0420311340,10/01/2024 9:57:00 AM,21/06/2024 8:45:07 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,2 DR SOLID UPRIGHT FRIDGE,Outlet,,,Frankie's Food Hall,80 Ann Street,Brisbane City,QLD,4006,"Travelled to site and found cabinet turned off. Turned on and found compressor cutting out on internal overload.
Uploaded data to Skope and new deck will be required.","Call Out,Labour","10.0000,90.0000",100.0000,10.00,110.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1237086R,Repair,,,Completed Successfully,3005882090801036,,,Bill 0420311340,10/01/2024 9:57:00 AM,21/06/2024 8:45:07 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,2 DR SOLID UPRIGHT FRIDGE,Outlet,,,Frankie's Food Hall,80 Ann Street,Brisbane City,QLD,4006,Travelled to site removed faulty deck and replaced with new one. Ran and tested customer pointed out both handles on doors cracked. Doors would have to be replaced.,"Labour,Travel Time,[UTKCNI-0018-P]Cartridge - 0018-P,Consumables","135.0000,45.0000,0.0000,10.0000",190.0000,19.00,209.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1237086R,Repair,,,Completed Successfully,3005882090801036,,,Bill 0420311340,10/01/2024 9:57:00 AM,21/06/2024 8:45:07 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,2 DR SOLID UPRIGHT FRIDGE,Outlet,,,Frankie's Food Hall,80 Ann Street,Brisbane City,QLD,4006,Travelled to site and replaced doors while pulling off packaging noticed RHS door damaged. Changed for customer and will need to be replaced.,"Call Out,Labour,Travel Time,KN-SDR12023 - DOOR-SOLID-2DR UPRIGHT,KN-SDR12023 - DOOR-SOLID-2DR UPRIGHT","90.0000,135.0000,45.0000,0.0000,0.0000",180.0000,18.00,198.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1237086R,Repair,,,Completed Successfully,3005882090801036,,,Bill 0420311340,10/01/2024 9:57:00 AM,21/06/2024 8:45:07 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,2 DR SOLID UPRIGHT FRIDGE,Outlet,,,Frankie's Food Hall,80 Ann Street,Brisbane City,QLD,4006,Travelled to site and replaced damaged door and uploaded data,"Labour,Travel Time,RHS DOOR","90.0000,45.0000,0.0000",135.0000,13.50,148.5000
SKOPE Industries,7 Eleven Stores PTY LTD,SIL-1238679R,Repair,5501076073HVAC914119,,Completed Successfully,A211114932,,,Platinum FM - email,12/01/2024 3:49:00 PM,22/01/2024 2:16:07 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OPENFACE,Outlet,,,7 Eleven,3-5 Spinnaker Drive,Sandstone Point,QLD,4511,Credit,"Call Out,Labour,Tolls,Consumables","-90.0000,-135.0000,-10.0000,-10.0000",-245.0000,-24.50,-269.5000
SKOPE Industries,7 Eleven Stores PTY LTD,SIL-1239010R,Repair,5501084269HVAC914825,,Completed Successfully,A220511786,,,Platinum FM - email,15/01/2024 9:21:00 AM,18/01/2024 10:48:00 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OPENFACE,Outlet,,,7-Eleven 152 Exhibition St,152 Exhibition Street,Melbourne,VIC,3000,"As per previous attendance, unit is next to pie warmer and in front of door and ac. 

Needs thermal divider 1400 x 700 mm with one curved edge.","Call Out,Labour,Parking","-85.0000,-80.0000,-7.8000",-172.8000,-17.28,-190.0800
SKOPE Industries,7 Eleven Stores PTY LTD,SIL-1240424R,Repair,HVAC916022,,Completed Successfully,A220210605,,,Platinum FM - email,18/01/2024 8:28:00 AM,23/01/2024 6:45:42 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OPENFACE,Outlet,,,7 Eleven Healesville,17-25 Maroondah Highway,Healesville,VIC,3777,Credit,"Call Out,Labour,Travel Time,Travel Distance","-85.0000,-80.0000,-85.0000,-74.0000",-324.0000,-32.40,-356.4000
SKOPE Industries,7 Eleven Stores PTY LTD,SIL-1241237R,Repair,5501075230HVAC919023,,Futile,A220210705,,,Platinum FM - email,19/01/2024 4:58:00 AM,22/01/2024 8:36:56 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OPENFACE,Outlet,,,7-Eleven,200 North Lake Road,Kardinya,WA,6163,Credit,"Call Out,Labour,Travel Time","-90.0000,-45.0000,0.0000",-135.0000,-13.50,-148.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1248327R,Repair,,,Completed Successfully,K-U210100519,,,W Jamieson,6/02/2024 7:43:05 AM,31/05/2024 12:45:09 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,Cartridge - 0022-P,Outlet,,,Fridgair Industries,49 Inspiration Drive,Wangara,WA,6065,"Arrived onsite, tested unit and found compressor inefficient with a high suction and not reaching temperature. Skope to supply new compressor
Arrived on site, removed and replaced compressor and filter drier. Vacced and charged system. All ok.","23/05/2024 - Labour,31/05/2024 - Labour,Drier,Schrader Valve,R290A,System Evacuation,Welding & Brazing","45.0000,225.0000,21.9700,4.2800,17.2300,30.0000,35.0000",378.4800,37.85,416.3300
SKOPE Industries,7 Eleven Stores PTY LTD,SIL-1251415R,Repair,5501066662HVAC927741,,Futile,A231019697,,,Platinum FM - email,12/02/2024 3:52:00 PM,19/02/2024 9:37:00 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OPENFACE,Outlet,,,7-Eleven,2 Club Court,Strathfieldsaye,VIC,3551,Original credit SSA091539,"Labour,Call Out","-52.5000,-150.0000",-202.5000,-20.25,-222.7500
SKOPE Industries,SKOPE INDUSTRIES,SIL-1251978R,Repair,,,Completed Successfully,K-U220300621,,,Warren Jamieson,14/02/2024 7:25:51 AM,19/06/2024 11:00:00 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,Cartridge - 0023-P,Outlet,,,Clubcold Refrigeration,287 Mona Vale Road,Terrey Hills,NSW,2084,"Carried out system check on unit, tested compressor and fans, system pulled temp. All ok and ready for despatch.","19/06/2024 - Labour,skope repair hub handling fee","85.0000,45.0000",130.0000,13.00,143.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1251980R,Repair,,,Completed Successfully,K-U220702139,,,Warren Jamieson,14/02/2024 7:25:51 AM,14/06/2024 5:17:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,Cartridge - 0019-P,Outlet,,,Clubcold Refrigeration,287 Mona Vale Road,Terrey Hills,NSW,2084,"Carried out system check on components, all fans, compressor working as normal. Gave deck a wipe down and sanitised. Ready of despatch.","14/06/2024 - Labour,skope repair hub handling fee,sundries","85.0000,45.0000,10.0000",140.0000,14.00,154.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1251981R,Repair,,,Completed Successfully,K-U220702143,,,Warren Jamieson,14/02/2024 7:25:51 AM,11/06/2024 8:00:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,Cartridge - 0037-P,Outlet,,,Clubcold Refrigeration,287 Mona Vale Road,Terrey Hills,NSW,2084,"Carried out system check, compressor and fans operational. Ran system and checked coil temp, all ok. Cleaned system with sanitiser. Ready for despatch.","11/06/2024 - Labour,skope repair hub handling fee,sanitiser cleaner","85.0000,45.0000,10.0000",140.0000,14.00,154.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1251982R,Repair,,,Completed Successfully,K-U220400843,,,Warren Jamieson,14/02/2024 7:25:51 AM,11/06/2024 8:14:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,Cartridge - 0020-P,Outlet,,,Clubcold Refrigeration,287 Mona Vale Road,Terrey Hills,NSW,2084,"Carried out system check on unit, tested compressor and fans, monitored as coil pulled temp. All ok, ready for despatch.","11/06/2024 - Labour,skope repair hub handling fee,sundries","85.0000,45.0000,10.0000",140.0000,14.00,154.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1251983R,Repair,,,Completed Successfully,K-U230501819,,,Warren Jamieson,14/02/2024 7:25:51 AM,14/06/2024 5:00:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,Cartridge - 0017-P,Outlet,,,Clubcold Refrigeration,287 Mona Vale Road,Terrey Hills,NSW,2084,"Carried out system check on components, all fans, compressor working as normal. Gave deck a wipe down and sanitised. Ready of despatch.","14/06/2024 - Labour,skope repair hub handling fee,sundries","85.0000,45.0000,10.0000",140.0000,14.00,154.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1251985R,Repair,,,Completed Successfully,K-U230300774,,,Warren Jamieson,14/02/2024 7:25:51 AM,4/06/2024 11:59:00 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,Cartridge - 0018-P,Outlet,,,Clubcold Refrigeration,287 Mona Vale Road,Terrey Hills,NSW,2084,"Carried out system check on unit, ran compressor and tested fans. Unit working perfectly. Gave unit a clean up and tidied cabling. All ok.","03/06/2024 - Labour,sundries,skope hub handling fee","85.0000,10.0000,45.0000",140.0000,14.00,154.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1251986R,Repair,,,Completed Successfully,K-U220300761,,,Warren Jamieson,14/02/2024 7:25:51 AM,16/06/2024 3:24:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,Cartridge - 0022-P,Outlet,,,Clubcold Refrigeration,287 Mona Vale Road,Terrey Hills,NSW,2084,"Carried out system check on unit, system already had schrader valve, found cut wires. Repaired wiring and nitrogen pressure tested unit, vacuumed system and recharged with r290. Ran system and monitored as unit pulled temp. All ok and ready for despatch.","16/06/2024 - Labour,skope repair hub handling fee,sundries,big blu,nitrogen,r290","170.0000,45.0000,10.0000,24.0000,28.0000,45.0000",322.0000,32.20,354.2000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1251989R,Repair,,,Completed Successfully,H-U210616557,,,Warren Jamieson,14/02/2024 7:25:51 AM,18/06/2024 7:03:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,Cartridge - TME-N,Outlet,,,Clubcold Refrigeration,287 Mona Vale Road,Terrey Hills,NSW,2084,"Carried out system check on unit, tested compressor and fans, all working. Found system pulling temp very slowly and not down past 9-10c. Put bullet piercing valve on system and found 40psi in system, slightly lower than usual. Nitrogen pressure tested system and thoroughly went over all components. System held 150psi for 1 hour, went over all crimp sections, no sign of any leaks on system, possible short charge from factory. Vacuumed system and recharged with r290. Ran system and monitored as it pulled temp. All ok and ready for despatch.","18/06/2024 - Call Out,18/06/2024 - Labour,big blu,bullet piercing valve,nitrogen,oxy weld / solder / vac pump oil,r290,schrader valve and stem,skope hub handling fee","75.0000,255.0000,24.0000,18.0000,28.0000,88.0000,45.0000,22.0000,45.0000",600.0000,60.00,660.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1251990R,Repair,,,Completed Successfully,H-U211225621,,,Warren Jamieson,14/02/2024 7:25:51 AM,11/06/2024 6:22:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,Cartridge BME/SKB600/900/1200,Outlet,,,Clubcold Refrigeration,287 Mona Vale Road,Terrey Hills,NSW,2084,"Carried out check on system, tested function, temp ok, checked all components, unit ready for despatch.","11/06/2024 - Labour,skope repair hub handling fee","85.0000,45.0000",130.0000,13.00,143.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1251991R,Repair,,,Completed Successfully,H-U211022543,,,Warren Jamieson,14/02/2024 7:25:51 AM,19/06/2024 6:58:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,Cartridge - TCE1000N,Outlet,,,Clubcold Refrigeration,287 Mona Vale Road,Terrey Hills,NSW,2084,"Carried out system check on unit, compressor and fans working. Gave unit a clean and checked refrigerant levels, pressure was slightly low. Pressure tested with nitrogen, system held pressure, vacuumed system and recharged with r290. Unit ready for despatch.","19/06/2024 - Labour,skope repair hub handling fee,nitrogen,oxy weld / solder / vac pump oil,big blu,schrader valve and stem,bullet piercing valve,r290","170.0000,45.0000,28.0000,88.0000,24.0000,22.0000,18.0000,45.0000",440.0000,44.00,484.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1251993R,Repair,,,Completed Successfully,H-U220110370,,,Warren Jamieson,14/02/2024 7:25:51 AM,15/06/2024 4:59:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,Cartridge BME-N,Outlet,,,Clubcold Refrigeration,287 Mona Vale Road,Terrey Hills,NSW,2084,"Carried out system check on unit, found compressor and fans running however unit not pulling temp. Checked system pressure, 0 psi charge. Nitrogen pressure tested, found leak on gauge port clamp. Replaced with schrader valve and stem. Vacuumed system to 300 microns, recharged with r290. Ran system and monitored as cabinet pulled temp. All ok, ready for despatch.","15/06/2024 - Labour,big blu,bullet piercing valve,nitrogen,oxy weld / solder / vac pump oil,r290,schrader valve and stem,skope hub handling fee,sundries","255.0000,24.0000,18.0000,28.0000,88.0000,45.0000,22.0000,45.0000,10.0000",535.0000,53.50,588.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1251994R,Repair,,,Scheduled,H-U161221546,,,Warren Jamieson,14/02/2024 7:25:51 AM,,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,Cartridge - TME/SKT650/1000,Outlet,,,Clubcold Refrigeration,287 Mona Vale Road,Terrey Hills,NSW,2084,"Carried out system check on unit, found 2 x bullet piercing valves on system with 80 psi of pressure. Ran system, compressor loud and hot, system pulling down into vacuum. Reclaimed refrigerant and cleared system out with nitrogen, found system full of UV dye. Luke to advise if this unit is worth repairing, requires capillary replacement and likely compressor replacement. Possible evaporator is full of dye and oil also.","18/06/2024 - Labour,skope repair hub handling fee,nitrogen","127.5000,45.0000,28.0000",200.5000,20.05,220.5500
SKOPE Industries,SKOPE INDUSTRIES,SIL-1251995R,Repair,,,Completed Successfully,H-U200713838,,,Warren Jamieson,14/02/2024 7:25:51 AM,15/06/2024 3:25:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,Cartridge - BME/SKB1500,Outlet,,,Clubcold Refrigeration,287 Mona Vale Road,Terrey Hills,NSW,2084,"Carried out system check on unit, checked fans and compressor, all ok. Wiped down unit and prepared for despatch.","15/06/2024 - Labour,sundries,skope hub handling fee","85.0000,10.0000,45.0000",140.0000,14.00,154.0000
SKOPE Industries,7 Eleven Stores PTY LTD,SIL-1252766R,Repair,5501076076HVAC929133,,Completed Successfully,A220612158,,,Platinum FM - email,15/02/2024 4:23:00 PM,20/02/2024 12:13:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OD1100,Outlet,,,7-Eleven,33 Taylors Road,Saint Albans,VIC,3021,Credit.,"Call Out,Labour,Apprentice Labour","-85.0000,-190.0000,-120.0000",-395.0000,-39.50,-434.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1253202R,Repair,5bafd599,,Completed Successfully,HA221218961,,,Alex MUNRO ,16/02/2024 7:38:10 AM,15/03/2024 12:46:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,2 DOOR,Outlet,,,Alice Springs Police Station, 17 Bath Street,Alice Springs,NT,0870,"B.Van den akker 16/2/2024 Attended site found fridge seal has
been stretched beyond fitment. Have chopped a small piece out to
make it fit and still seal. Will need to order in a new door seal
(details attached).
S.Spoehr 16/2/2024 Attended site found fridge seal has been
stretched beyond fitment. Have chopped a small piece out to make
it fit and still seal. Will need to order in a new door seal (details
attached).

R.Cross 12/3/2024 Arrived on site pulled out old seals and replaced
with new. All good.

S.Spoehr 12/3/2024 Arrived on site pulled out old seals and
replaced with new. All good.","Labour,Labour,[GKT4899SK]GASKET,DR,1499x589.5,B1200,Labour","125.0000,97.5000,0.0000,62.5000",285.0000,28.50,313.5000
SKOPE Industries,7 Eleven Stores PTY LTD,SIL-1253738R,Repair,5501075234HVAC932114,,Futile,A220311095,,,Platinum FM - email,19/02/2024 8:15:00 AM,20/02/2024 12:12:02 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OPENFACE,Outlet,,,7-Eleven,720 Sunbury Road,Sunbury,VIC,3429,Credit,"Call Out,Labour","-85.0000,-80.0000",-165.0000,-16.50,-181.5000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1254100R,Repair,,,Completed Successfully,RCBB.3-10300,,,Craig Plunkett - email,19/02/2024 2:40:00 PM,19/06/2024 3:03:00 PM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,BACKBAR CUSTOM CHILLER,Outlet,,,D`Aguilar Pub,2036 D'Aguilar Hwy,D'Aguilar,QLD,4514,"Travel to site and gain access to system.

Find all 6 doors askew but opening and closing.

Make attempts to straighten the doors, however this would require redrilling all the hinges, but this is obstructed by the existing screw rivets in place already.

Further assessment in association with Warren and Luke revealed that the cabinet was not plumb. 

Measurements taken and photographs of level uploaded.

Skope to assess for further requirements.
Travel to site and gain access to system.

Obtain photos and information as requested.

Attempt to contact Warren while on site to confirm all ok, however was busy on the phone.

The stainless countertop has been sikaflexed to the top of the fridge “liberally”as described by the installer.

The plinth appears out of plumb.","Call Out,Labour,Labour,Travel Time","80.0000,80.0000,80.0000,160.0000",400.0000,40.00,440.0000
SKOPE Industries,SKOPE INDUSTRIES,SIL-1256265R,Repair,,,Futile,5012881101301036,,,Luke TS,23/02/2024 2:23:00 PM,27/03/2024 9:09:00 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,2 DR SOLID UPRIGHT COMBO,Outlet,,,Royal Bank of Canada,25 Martin Place,Sydney,NSW,2000,"Site not available
Client rejected attendace",,,0.0000,0.00,0.0000
SKOPE Industries,7 Eleven Stores PTY LTD,SIL-1256930R,Repair,5501075235HVAC935758,,Completed Successfully,A220612156,,,Platinum FM - email,26/02/2024 2:21:00 PM,28/02/2024 8:30:05 AM,Billed,SSA091825,Skope Warranty,6/07/2024 2:30:06 AM,,,OD1100,Outlet,,,7-Eleven,25-29 Belgrave-Hallam Road,Hallam,VIC,3803,Credit.,"Call Out,Labour","-85.0000,-80.0000",-165.0000,-16.50,-181.5000
